"Id","Run Order","Capture Time","Reserved","Latitude","Latitude Date Modified UTC","Longitude","Longitude Date Modified UTC","Location Icon","Location Icon Date Modified UTC","ID","ID Date Modified UTC","Street","Street Date Modified UTC","Description","Description Date Modified UTC","Side of Street","Side of Street Date Modified UTC","Green Flashing","Green Flashing Date Modified UTC","Red Flashing","Red Flashing Date Modified UTC","ADA","ADA Date Modified UTC","Notes","Notes Date Modified UTC","Picture","Picture Date Modified UTC","COMPLETE","COMPLETE Date Modified UTC"
"afd6f826","-1","2022-08-04T17:20:51.463Z","","39.7194653359086","","-104.957590708836","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.71947977766618 -104.95807350645855;39.71945089415093 -104.95710791121319"}","","","","","","","","","","6","2022-08-04T17:20:51.463Z","","","","","","","","","",""
"f8f1be33","-1","2022-08-04T17:23:28.207Z","","39.7201956687483","","-104.957118640049","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.71949009320444 -104.9571293688853;39.72090124429222 -104.95710791121319"}","","","","","","","","","","12","2022-08-04T17:23:28.207Z","","","","","","","","","",""
"6a3d8b11","-1","2022-08-04T17:03:31.89Z","","39.7210662893169","","-104.956458816632","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.72106628931693 -104.95698989401653;39.72106628931693 -104.95592773924663"}","","","","","","","","","","9","2022-08-04T17:03:31.89Z","","","","","","","","","",""
"2ccd06ff","-1","2022-08-04T17:05:04.4Z","","39.7210456587103","","-104.955251822575","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.721049784832246 -104.95576680670574;39.7210415325884 -104.95473683844402"}","","","","","","","","","","9","2022-08-04T17:05:04.4Z","","","","","","","","","",""
"7fafdecf","-1","2022-08-04T17:06:23.374Z","","39.7210580370751","","-104.954034099682","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.721058037075096 -104.95457590590313;39.721058037075096 -104.95349229346111"}","","","","","","","","","","6","2022-08-04T17:06:23.374Z","","","","","","","","","",""
"8b87e259","-1","2022-08-04T17:08:23.193Z","","39.7210456587103","","-104.952837834461","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.721049784832246 -104.95338500510051;39.7210415325884 -104.95229066382244"}","","","","","","","","","","2","2022-08-04T17:08:23.193Z","","","","","","","","","",""
"a5180c17","-1","2022-08-04T17:10:20.048Z","","39.7201956687483","","-104.952119002445","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.72090124429222 -104.95211900244549;39.71949009320444 -104.95211900244549"}","","","","","","","","","","12","2022-08-04T17:10:20.048Z","","","","","","","","","",""
"32586004","-1","2022-08-04T17:09:18.401Z","","39.7201956686634","","-104.952306757077","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.71948184077396 -104.9523013926585;39.72090949655283 -104.95231212149456"}","","","","","","","","","","8","2022-08-04T17:10:10.965Z","","","1","2022-08-04T17:09:18.401Z","","","","","",""
"2d4a1540","-1","2022-08-04T17:08:02.334Z","","39.7209218749408","","-104.952821741207","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.72090949655283 -104.95232285033062;39.720934253328764 -104.95332063208416"}","","","","","","","","","","2","2022-08-04T17:08:02.334Z","","","","","","","","","",""
"73ee9682","-1","2022-08-04T17:06:03.006Z","","39.7209218749408","","-104.95401264201","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.720934253328764 -104.95350302229717;39.72090949655283 -104.95452226172283"}","","","","","","","","","","5","2022-08-04T17:06:03.006Z","","","","","","","","","",""
"0c88fb08","-1","2022-08-04T17:15:34.615Z","","39.7201832901011","","-104.954549083813","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.72090124429222 -104.95455444823101;39.71946533591005 -104.95454371939495"}","","","","","","","","","","10","2022-08-04T17:15:34.098Z","3","2022-08-04T17:15:34.615Z","","","","","","","",""
"695594f5","-1","2022-08-04T17:13:17.427Z","","39.7194601781385","","-104.954020688637","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.71945811503012 -104.95455176602181;39.71946224124689 -104.95348961125191"}","","","","","","","","","","10","2022-08-04T17:13:17.427Z","","","","","","","","","",""
"328dd727","-1","2022-08-04T17:11:53.197Z","","39.7193590857534","","-104.954028735264","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.719361148864806 -104.95349497566994;39.71935702264199 -104.95456249485787"}","","","","","","","","","","6","2022-08-04T17:11:53.197Z","","","","","","","","","",""
"023363fa","-1","2022-08-04T17:18:25.447Z","","39.7193570226415","","-104.955249140366","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.71934877019558 -104.95469124089058;39.71936527508738 -104.95580703984078"}","","","","","","","","","","6","2022-08-04T17:18:25.447Z","","","","","","","","","",""
"164512b0","-1","2022-08-04T17:18:51.99Z","","39.7194601781384","","-104.955235729321","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.719456051921625 -104.95579094658669;39.71946430435518 -104.95468051205452"}","","","","","","","","","","3","2022-08-04T17:18:50.94Z","","","1","2022-08-04T17:18:51.99Z","","","","","",""
"ba81de12","-1","2022-08-04T17:17:28.948Z","","39.7201905107298","","-104.954696605309","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.719456051921625 -104.95469660530861;39.72092496953806 -104.95469660530861"}","","","","","","","","","","17","2022-08-04T17:17:30.288Z","0","2022-08-04T17:17:28.948Z","","","","","","","",""
"0ece161b","-1","2022-08-04T17:05:20.068Z","","39.7209332217957","","-104.955246458157","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.72092909566707 -104.95470196972664;39.72093734792438 -104.95579094658669"}","","","","","","","","","","5","2022-08-04T17:05:20.068Z","","","","","","","","","",""
"23973a07","-1","2022-08-04T17:04:20.817Z","","39.7209270326026","","-104.956456134422","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.72092909566707 -104.9559196926194;39.72092496953806 -104.95699257622536"}","","","","","","","","","","5","2022-08-04T17:03:43.276Z","1","2022-08-04T17:04:19.687Z","1","2022-08-04T17:04:20.817Z","","","","","",""
"59dc720d","-1","2022-08-04T17:22:14.626Z","","39.7201843214919","","-104.95700598727","","{"type":"polyline";"strokeWeight":3;"strokeColor":"#009900";"path":"39.72091671727931 -104.95700330506142;39.719451925704504 -104.95700866947945"}","","","","","","","","","","18","2022-08-04T17:22:47.546Z","8","2022-08-04T17:22:13.879Z","2","2022-08-04T17:22:14.626Z","","","","","",""
